,reg_name,lat,lon
0,Piemonte,45.060558446621684,7.923153507073121
1,Valle d'Aosta/Vallée d'Aoste,45.730201192056484,7.387206904031594
2,Lombardia,45.62069701049605,9.769057223497855
3,Trentino-Alto Adige/Südtirol,46.441484442088196,11.282010305799764
4,Veneto,45.64820083434612,11.855476478441785
5,Friuli-Venezia Giulia,46.15437366219191,13.052831070075266
6,Liguria,44.26477503484209,8.704632196193549
7,Emilia-Romagna,44.523892291541515,11.041088277687455
8,Toscana,43.45089845527591,11.12631949433242
9,Umbria,42.96600029628819,12.490005739441672
10,Marche,43.344892461262184,13.142270633045914
11,Lazio,41.98010568950312,12.766908388597411
12,Abruzzo,42.2273766484472,13.854808026700036
13,Molise,41.68419140799064,14.595299416414779
14,Campania,40.85986593191191,14.840417077041561
15,Puglia,40.98445584339928,16.619466386590886
16,Basilicata,40.499837493429546,16.08163166448774
17,Calabria,39.06767868678291,16.347431578855026
18,Sicilia,37.588451182160185,14.146469759403859
19,Sardegna,40.08843311571886,9.030723807838301
